,date,kospi_adj_close,kospi_volume,kosdaq_adj_close,kosdaq_volume,usd_krw_adj_close,year,month,day
785,2021-03-15,3045.709961,1161800,926.900024,2300,1134.5,2021,3,15
786,2021-03-16,3067.169922,1123900,940.650024,3400,1131.390015,2021,3,16
787,2021-03-17,3047.5,815000,943.780029,2800,1129.839966,2021,3,17
788,2021-03-18,3066.01001,1232600,949.830017,2100,1121.130005,2021,3,18
789,2021-03-19,3039.530029,1068500,952.109985,1700,1126.109985,2021,3,19
790,2021-03-22,3035.459961,915700,955.380005,1800,1127.47998,2021,3,22
791,2021-03-23,3004.73999,1331200,946.309998,2000,1125.119995,2021,3,23
792,2021-03-24,2996.350098,978400,953.820007,1700,1133.199951,2021,3,24
793,2021-03-25,3008.330078,940400,954.98999,1800,1134.47998,2021,3,25
794,2021-03-26,3041.01001,1036400,956.700012,2100,1134.209961,2021,3,26
795,2021-03-29,3036.040039,1288800,954.099976,2400,1127.959961,2021,3,29
796,2021-03-30,3070.0,1023100,958.059998,2000,1131.650024,2021,3,30
797,2021-03-31,3061.419922,1147000,956.169983,1900,1132.319946,2021,3,31
798,2021-04-01,3087.399902,922700,965.780029,2000,1127.199951,2021,4,1
799,2021-04-02,3112.800049,792700,970.090027,2300,1128.060059,2021,4,2
800,2021-04-05,3120.830078,1084800,969.77002,1900,1128.790039,2021,4,5
801,2021-04-06,3127.080078,1279000,968.630005,2400,1124.109985,2021,4,6
802,2021-04-07,3137.409912,1984800,973.219971,2000,1117.5,2021,4,7
803,2021-04-08,3143.26001,1357300,982.02002,1900,1117.859985,2021,4,8
804,2021-04-09,3131.879883,1823200,989.390015,1600,1115.839966,2021,4,9
805,2021-04-12,3135.590088,1048800,1000.650024,1900,1122.060059,2021,4,12
806,2021-04-13,3169.080078,1741300,1010.369995,3700,1124.449951,2021,4,13
807,2021-04-14,3182.379883,1776300,1014.419983,3200,1120.689941,2021,4,14
808,2021-04-15,3194.330078,1313000,1013.900024,2600,1116.109985,2021,4,15
809,2021-04-16,3198.620117,985300,1021.619995,2100,1115.670044,2021,4,16
810,2021-04-19,3198.840088,1060600,1029.459961,2000,1115.650024,2021,4,19
811,2021-04-20,3220.699951,1296200,1031.880005,1800,1114.469971,2021,4,20
812,2021-04-21,3171.659912,1767100,1022.219971,2900,1116.109985,2021,4,21
813,2021-04-22,3177.52002,1752700,1025.709961,4100,1115.660034,2021,4,22
814,2021-04-23,3181.080078,1829400,1026.819946,4100,1118.589966,2021,4,23
815,2021-04-26,3217.530029,1298300,1030.060059,2900,1114.130005,2021,4,26
816,2021-04-27,3215.419922,1534200,1021.01001,3400,1109.22998,2021,4,27
817,2021-04-28,3181.469971,1412600,998.27002,3200,1112.150024,2021,4,28
818,2021-04-29,3174.070068,1222400,990.690002,1900,1108.660034,2021,4,29
819,2021-04-30,3147.860107,1358200,983.450012,1500,1106.630005,2021,4,30
820,2021-05-03,3127.199951,1040300,961.809998,1500,1116.76001,2021,5,3
821,2021-05-04,3147.370117,1282900,967.200012,1500,1120.400024,2021,5,4
822,2021-05-06,3160.429932,1238600,969.98999,0,1123.98999,2021,5,6
823,2021-05-07,3197.199951,988900,978.299988,1300,1119.390015,2021,5,7
824,2021-05-10,3249.300049,1010200,992.799988,1300,1111.969971,2021,5,10
825,2021-05-11,3209.429932,1095700,978.609985,1400,1115.540039,2021,5,11
826,2021-05-12,3161.659912,1423200,967.099976,2000,1118.22998,2021,5,12
827,2021-05-13,3122.110107,1094900,951.77002,1400,1131.599976,2021,5,13
828,2021-05-14,3153.320068,835600,966.719971,1600,1125.699951,2021,5,14
829,2021-05-17,3134.52002,770700,962.5,1500,1125.530029,2021,5,17
830,2021-05-18,3173.050049,785400,969.099976,1400,1135.51001,2021,5,18
831,2021-05-20,3162.280029,773600,971.130005,1500,1130.369995,2021,5,20
832,2021-05-21,3156.419922,796800,965.630005,1500,1127.050049,2021,5,21
